id,state,location,guests,beds,property_type,n_reviews,rating,price
JG9139,MASSACHUSETTS,"South End, Boston.",4,2,Apartment,105.0,96.0,79
TJ9932,ILLINOIS,"West Town/Noble Square, Chicago.",4,2,Apartment,4.0,93.0,125
OB4468,California,"Venice, Los Angeles.",4,1,House,12.0,100.0,133
QS1438,Illinois,"Edgewater, Chicago.",4,2,Apartment,6.0,97.0,79
GE6066,California,"Pacific Palisades, Los Angeles.",2,1,House,21.0,98.0,119
SS3365,California,"Western Addition/NOPA, San Francisco.",2,1,Condominium,14.0,98.0,119
GI3103,California,"Glendale, Los Angeles.",5,2,Apartment,23.0,90.0,139
VM7350,ILLINOIS,"Little Italy/UIC, Chicago.",2,1,Apartment,0.0,,46
NC2181,illinois,"Streeterville, Chicago.",3,2,Apartment,92.0,90.0,169
HI4266,Illinois,"Logan Square, Chicago.",2,1,Apartment,21.0,86.0,95
CP6012,California,"Venice, Los Angeles.",4,2,Condominium,28.0,95.0,137
RH7888,California,"Hayes Valley, San Francisco.",5,3,Apartment,3.0,100.0,150
LO9691,California,"Mid-Wilshire, Los Angeles.",2,1,Apartment,97.0,94.0,125
IP8102,illinois,"Uptown, Chicago.",6,4,House,59.0,95.0,144
BZ3596,Illinois,"Lakeview, Chicago.",2,1,House,30.0,89.0,119
GY8092,CALIFORNIA,"Outer Sunset, San Francisco.",2,1,House,15.0,96.0,79
PI7124,MASSACHUSETTS,"North End, Boston.",6,3,Apartment,43.0,91.0,149
BV4439,california,"Potrero Hill, San Francisco.",2,1,Apartment,96.0,92.0,124
RL1986,CALIFORNIA,"Hollywood Hills, Los Angeles.",3,1,Apartment,20.0,94.0,124
BX9112,CALIFORNIA,"Hollywood, Los Angeles.",4,2,Apartment,118.0,93.0,100
LK2707,MASSACHUSETTS,"Back Bay, Boston.",4,2,Apartment,15.0,99.0,198
XP1905,california,"Hawthorne, Los Angeles.",9,4,House,46.0,86.0,149
YN6557,ILLINOIS,"Jefferson Park, Chicago.",4,2,Apartment,10.0,100.0,70
WB9012,CALIFORNIA,"Santa Monica, Los Angeles.",3,1,Condominium,32.0,94.0,199
ZV6226,ILLINOIS,"Uptown, Chicago.",4,2,Apartment,33.0,96.0,188
UG1694,illinois,"Rogers Park, Chicago.",4,2,Apartment,1.0,79.0,100
MV3164,CALIFORNIA,"Mission District, San Francisco.",2,2,Condominium,3.0,100.0,159
MN2674,california,"Mission District, San Francisco.",2,1,House,100.0,98.0,199
HI6065,California,"Twin Peaks, San Francisco.",2,1,Apartment,8.0,94.0,139
IL6945,California,"Mid-Wilshire, Los Angeles.",2,1,Apartment,11.0,98.0,74
OH8881,massachusetts,"East Boston, Boston.",4,2,House,1.0,98.0,129
JB1517,Massachusetts,"Allston-Brighton, Boston.",2,1,House,45.0,96.0,68
RY4487,CALIFORNIA,"Hollywood, Los Angeles.",4,2,Apartment,11.0,98.0,139
UF3937,California,"Beverly Hills, Los Angeles.",2,1,Apartment,1.0,100.0,110
DM6667,Massachusetts,"Chinatown, Boston.",4,2,Apartment,26.0,92.0,109
TL4390,Massachusetts,"North End, Boston.",6,3,Apartment,3.0,100.0,149
ER2572,massachusetts,"Allston-Brighton, Boston.",4,2,House,49.0,86.0,139
YO2145,california,"Parkside, San Francisco.",2,1,Apartment,44.0,94.0,119
AF3887,California,"Pasadena, Los Angeles.",2,1,House,35.0,99.0,115
II3244,California,"Noe Valley, San Francisco.",2,1,House,14.0,91.0,150
OD8356,CALIFORNIA,"Long Beach, Los Angeles.",3,1,Apartment,91.0,91.0,133
TN4715,Illinois,"River North, Chicago.",2,1,Condominium,147.0,94.0,115
YD4452,MASSACHUSETTS,"Charlestown, Boston.",2,1,Apartment,50.0,94.0,150
US7584,CALIFORNIA,"West Hollywood, Los Angeles.",1,1,Apartment,60.0,94.0,79
TY7657,California,"Topanga, Los Angeles.",4,2,House,44.0,96.0,175
NH9205,California,"El Segundo, Los Angeles.",4,2,Apartment,0.0,,100
WH5904,ILLINOIS,"Bridgeport, Chicago.",4,2,Apartment,2.0,80.0,129
MZ7426,massachusetts,"Roxbury, Boston.",2,1,Other,4.0,94.0,79
FE9007,massachusetts,"Downtown Crossing, Boston.",3,2,Apartment,15.0,93.0,128
ZH9116,Illinois,"Pilsen, Chicago.",4,2,Apartment,31.0,92.0,160
PV7798,Massachusetts,"South End, Boston.",3,2,Condominium,16.0,98.0,149
UU5467,Illinois,"Wrigleyville, Chicago.",8,4,Apartment,13.0,93.0,139
EG1574,Illinois,"River North, Chicago.",4,2,Apartment,14.0,92.0,110
SA2332,California,"Hollywood, Los Angeles.",16,1,House,1.0,100.0,199
SH5853,massachusetts,"West Roxbury, Boston.",2,1,House,3.0,89.0,139
LD8275,California,"North Hollywood, Los Angeles.",4,1,Apartment,9.0,91.0,125
WW2405,massachusetts,"East Boston, Boston.",4,2,Condominium,59.0,99.0,119
QA7175,Illinois,"Lakeview, Chicago.",6,3,Apartment,19.0,91.0,109
QW4384,California,"Potrero Hill, San Francisco.",2,1,Apartment,8.0,98.0,98
TG4403,California,"Topanga, Los Angeles.",4,2,House,17.0,100.0,125
XR8809,Massachusetts,"Theater District, Boston.",2,2,Apartment,9.0,97.0,89
FP9471,California,"Northridge, Los Angeles.",2,1,Other,34.0,97.0,98
FH1083,Illinois,"Avondale, Chicago.",8,4,Apartment,105.0,96.0,115
KF1563,massachusetts,"Jamaica Plain, Boston.",4,3,Apartment,10.0,84.0,117
YS8388,California,"South Robertson, Los Angeles.",2,1,Apartment,17.0,85.0,56
YI2593,California,"Nob Hill, San Francisco.",2,1,Apartment,25.0,97.0,164
EH9822,Illinois,"West Town/Noble Square, Chicago.",2,1,House,15.0,98.0,74
TJ2269,massachusetts,"Roxbury, Boston.",2,1,Apartment,4.0,79.0,125
NX5053,california,"Duboce Triangle, San Francisco.",2,1,House,185.0,96.0,155
DM2646,Illinois,"Old Town, Chicago.",8,3,Loft,61.0,94.0,133
FG5631,california,"Torrance, Los Angeles.",2,1,House,1.0,99.0,104
ZD2380,MASSACHUSETTS,"East Boston, Boston.",4,2,Apartment,4.0,74.0,169
DM9474,CALIFORNIA,"SoMa, San Francisco.",2,1,Apartment,7.0,94.0,85
NO2037,CALIFORNIA,"Long Beach, Los Angeles.",2,1,Apartment,9.0,92.0,119
UZ7284,ILLINOIS,"Bronzeville, Chicago.",2,1,Apartment,63.0,96.0,62
AY4782,california,"Mission District, San Francisco.",3,2,Apartment,525.0,98.0,139
PU9653,CALIFORNIA,"West Hollywood, Los Angeles.",4,2,House,17.0,99.0,164
WU1572,california,"Hollywood Hills, Los Angeles.",7,3,Apartment,71.0,92.0,100
UT2755,Massachusetts,"Fenway/Kenmore, Boston.",2,1,Apartment,7.0,96.0,160
ZR8194,ILLINOIS,"Lakeview, Chicago.",4,2,Apartment,8.0,100.0,98
NP6990,Massachusetts,"West Roxbury, Boston.",2,1,House,40.0,97.0,59
JA8584,Massachusetts,"Beacon Hill, Boston.",2,1,Apartment,1.0,100.0,197
JE8565,CALIFORNIA,"Valley Glen, Los Angeles.",1,1,House,24.0,93.0,46
HM8008,illinois,"Ukrainian Village, Chicago.",8,3,Apartment,131.0,94.0,129
YJ2486,California,"Woodland Hills/Warner Center, Los Angeles.",2,1,House,33.0,97.0,46
KO1076,Illinois,"Near North Side, Chicago.",2,1,Apartment,4.0,92.0,175
